Count:   52 | 32FF 1001011111111 Addr: 32FF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
Count:   53 | 36FF 1011011111111 Addr: 36FF | 005D | 01011101 | Data: 1 | Clock: 0 | Enable: 1
Count:   54 | 33FF 1001111111111 Addr: 33FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   55 | 37FF 1011111111111 Addr: 37FF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:   56 | 38FF 1100011111111 Addr: 38FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   57 | 3CFF 1110011111111 Addr: 3CFF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:   58 | 39FF 1100111111111 Addr: 39FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   59 | 3DFF 1110111111111 Addr: 3DFF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:   60 | 3AFF 1101011111111 Addr: 3AFF | 0064 | 01100100 | Data: 0 | Clock: 1 | Enable: 1
Count:   61 | 3EFF 1111011111111 Addr: 3EFF | 0024 | 00100100 | Data: 0 | Clock: 1 | Enable: 0
Count:   62 | 3BFF 1101111111111 Addr: 3BFF | 0024 | 00100100 | Data: 0 | Clock: 1 | Enable: 0
Count:   63 | 3FFF 1111111111111 Addr: 3FFF | 00A4 | 10100100 | Data: 0 | Clock: 1 | Enable: 0
Count:   64 | 00FF 0000011111111 Addr: 00FF | 0025 | 00100101 | Data: 0 | Clock: 1 | Enable: 0
Count:   65 | 04FF 0010011111111 Addr: 04FF | 0025 | 00100101 | Data: 0 | Clock: 1 | Enable: 0
Count:   66 | 01FF 0000111111111 Addr: 01FF | 0025 | 00100101 | Data: 0 | Clock: 1 | Enable: 0
Count:   67 | 05FF 0010111111111 Addr: 05FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   68 | 02FF 0001011111111 Addr: 02FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   69 | 06FF 0011011111111 Addr: 06FF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:   70 | 03FF 0001111111111 Addr: 03FF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
Count:   71 | 07FF 0011111111111 Addr: 07FF | 005D | 01011101 | Data: 1 | Clock: 0 | Enable: 1
Count:   72 | 08FF 0100011111111 Addr: 08FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   73 | 0CFF 0110011111111 Addr: 0CFF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:   74 | 09FF 0100111111111 Addr: 09FF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
Count:   75 | 0DFF 0110111111111 Addr: 0DFF | 005D | 01011101 | Data: 1 | Clock: 0 | Enable: 1
Count:   76 | 0AFF 0101011111111 Addr: 0AFF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   77 | 0EFF 0111011111111 Addr: 0EFF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:   78 | 0BFF 0101111111111 Addr: 0BFF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   79 | 0FFF 0111111111111 Addr: 0FFF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:   80 | 20FF 0000011111111 Addr: 20FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   81 | 24FF 0010011111111 Addr: 24FF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:   82 | 21FF 0000111111111 Addr: 21FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   83 | 25FF 0010111111111 Addr: 25FF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:   84 | 22FF 0001011111111 Addr: 22FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   85 | 26FF 0011011111111 Addr: 26FF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:   86 | 23FF 0001111111111 Addr: 23FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   87 | 27FF 0011111111111 Addr: 27FF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:   88 | 28FF 0100011111111 Addr: 28FF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
Count:   89 | 2CFF 0110011111111 Addr: 2CFF | 005D | 01011101 | Data: 1 | Clock: 0 | Enable: 1
Count:   90 | 29FF 0100111111111 Addr: 29FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   91 | 2DFF 0110111111111 Addr: 2DFF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:   92 | 2AFF 0101011111111 Addr: 2AFF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   93 | 2EFF 0111011111111 Addr: 2EFF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:   94 | 2BFF 0101111111111 Addr: 2BFF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
Count:   95 | 2FFF 0111111111111 Addr: 2FFF | 005D | 01011101 | Data: 1 | Clock: 0 | Enable: 1
Count:   96 | 10FF 1000011111111 Addr: 10FF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
Count:   97 | 14FF 1010011111111 Addr: 14FF | 005D | 01011101 | Data: 1 | Clock: 0 | Enable: 1
Count:   98 | 11FF 1000111111111 Addr: 11FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:   99 | 15FF 1010111111111 Addr: 15FF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  100 | 12FF 1001011111111 Addr: 12FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  101 | 16FF 1011011111111 Addr: 16FF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  102 | 13FF 1001111111111 Addr: 13FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  103 | 17FF 1011111111111 Addr: 17FF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  104 | 18FF 1100011111111 Addr: 18FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  105 | 1CFF 1110011111111 Addr: 1CFF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  106 | 19FF 1100111111111 Addr: 19FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  107 | 1DFF 1110111111111 Addr: 1DFF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  108 | 1AFF 1101011111111 Addr: 1AFF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
Count:  109 | 1EFF 1111011111111 Addr: 1EFF | 005D | 01011101 | Data: 1 | Clock: 0 | Enable: 1
Count:  110 | 1BFF 1101111111111 Addr: 1BFF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
Count:  111 | 1FFF 1111111111111 Addr: 1FFF | 005D | 01011101 | Data: 1 | Clock: 0 | Enable: 1
Count:  112 | 30FF 1000011111111 Addr: 30FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  113 | 34FF 1010011111111 Addr: 34FF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  114 | 31FF 1000111111111 Addr: 31FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  115 | 35FF 1010111111111 Addr: 35FF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
